Service,Resource,Resource Name,Issue,Severity,Recommendation
Docker,nginx:latest (debian 13.4),,[more related to CVE-2005-4890],LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,perl: File:: Temp insecure temporary file handling,LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,[sysvinit: no-root option in expert installer exposes locally exploitable security flaw],LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,tar: tar: Hidden file injection via crafted archives,MEDIUM,No fixed version provided
Docker,nginx:latest (debian 13.4),,tar: does not properly warn the user when extracting setuid or setgid files,LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,[tar's rmt command may have undesired side effects],LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,util-linux: TOCTOU in the mount program when setting up loop devices,MEDIUM,No fixed version provided
Docker,nginx:latest (debian 13.4),,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,util-linux: util-linux: Heap buffer overread in setpwnam() when processing 256-byte usernames,LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,util-linux: util-linux: Access control bypass due to improper hostname canonicalization,LOW,No fixed version provided
Docker,nginx:latest (debian 13.4),,zlib: zlib: Denial of Service via infinite loop in CRC32 combine functions,MEDIUM,No fixed version provided
